model,prompt,story_id,num_chains,avg_chain_size,coref_ratio
human,original,13683,2.0,7.5,0.9988524354140639
human,original,13596,5.0,3.6,0.616018324954511
human,original,12423,4.0,4.75,0.8288773922429453
human,original,12358,2.0,6.5,0.9968991101462736
human,original,11719,2.0,6.0,0.9949052907405388
human,original,11678,3.0,5.666666666666667,0.9547239922927337
human,original,11543,4.0,5.0,0.8474072141058118
human,original,11541,4.0,3.25,0.6698515564701782
human,original,11457,1.0,9.0,0.9999999635977413
human,original,11340,2.0,6.5,0.9968991101462736
human,original,11260,5.0,3.2,0.5640291275177679
human,original,10499,4.0,2.75,0.5952677306997588
human,original,10486,5.0,5.2,0.7770670098724379
human,original,10408,7.0,3.2857142857142856,0.4371630286577889
human,original,9914,3.0,4.333333333333333,0.8936263675093581
human,original,9418,3.0,6.333333333333333,0.9706895565769862
human,original,9334,2.0,6.5,0.9968991101462736
human,original,8551,2.0,7.0,0.9981133843224367
human,original,8154,3.0,4.666666666666667,0.9138494194403485
human,original,8085,4.0,2.75,0.5952677306997588
human,original,8061,4.0,4.5,0.808330888044811
human,original,7702,2.0,7.0,0.9981133843224367
human,original,7596,4.0,4.75,0.8288773922429453
human,original,7195,4.0,3.5,0.70280303366564
human,original,7150,4.0,3.5,0.70280303366564
human,original,7065,4.0,3.25,0.6698515564701782
human,original,6921,5.0,3.0,0.5361968300109659
human,original,6878,2.0,3.5,0.9403764740238472
human,original,6847,4.0,6.75,0.9332874150134229
human,original,6729,8.0,3.375,0.3980657062931662
human,original,6215,2.0,3.5,0.9403764740238472
human,original,6111,4.0,3.25,0.6698515564701782
human,original,5721,3.0,3.0,0.7601953582523919
human,original,5540,6.0,3.0,0.46146262313113756
human,original,5349,3.0,2.3333333333333335,0.6499394116396263
human,original,5265,3.0,6.0,0.9635551199895266
human,original,5201,9.0,4.0,0.4169141953231067
human,original,5062,1.0,10.0,0.999999994974963
human,original,5047,4.0,2.75,0.5952677306997588
human,original,4797,3.0,2.0,0.5813184571171806
human,original,4173,6.0,6.166666666666667,0.7723264083680951
human,original,4047,7.0,5.571428571428571,0.6611100463266596
human,original,3891,3.0,4.0,0.8689811246743774
human,original,3761,5.0,5.2,0.7770670098724379
human,original,3295,4.0,3.75,0.7329915688790408
human,original,3230,4.0,4.0,0.760544847685396
human,original,2926,5.0,3.2,0.5640291275177679
human,original,2722,2.0,5.5,0.991634849741338
human,original,2702,2.0,8.0,0.9993020763513971
human,original,2400,5.0,3.6,0.616018324954511
human,original,1467,4.0,2.25,0.5087910985706078
human,original,1214,3.0,4.0,0.8689811246743774
human,original,1201,4.0,3.0,0.6340318177388176
human,original,1111,3.0,4.666666666666667,0.9138494194403485
human,original,948,2.0,8.0,0.9993020763513971
human,original,733,4.0,4.5,0.808330888044811
human,original,723,2.0,6.0,0.9949052907405388
human,original,721,5.0,4.2,0.6849199781029739
human,original,515,7.0,5.428571428571429,0.6494829562125692
human,original,345,5.0,2.2,0.4129162032860138
human,large,345,7.666666666666667,4.973015873015872,0.5811470111353348
human,large,515,9.333333333333334,5.337912087912088,0.5274517139168332
human,large,721,5.666666666666667,3.8190476190476192,0.5848331168744644
human,large,723,4.666666666666667,8.522222222222222,0.9248131288350354
human,large,733,4.333333333333333,11.611111111111109,0.9687040240090825
human,large,948,5.333333333333333,4.966666666666667,0.7208158247905398
human,large,1111,4.0,6.611111111111111,0.8526644737740541
human,large,1201,7.0,5.075396825396825,0.6182977950272855
human,large,1214,5.666666666666667,6.333333333333333,0.7473254802548254
human,large,1467,7.333333333333333,4.517857142857142,0.542264793628417
human,large,2400,5.333333333333333,5.791666666666667,0.771718427086929
human,large,2702,4.0,8.26984126984127,0.9003533955888982
human,large,2722,5.0,4.655555555555556,0.7243512747604178
human,large,2926,5.666666666666667,4.246031746031746,0.6418754051477388
human,large,3230,6.0,5.208333333333333,0.6665730631419278
human,large,3295,6.0,5.972222222222222,0.75895949078752
human,large,3761,8.333333333333334,5.272222222222222,0.6135427355686028
human,large,3891,4.333333333333333,3.888888888888889,0.7239408488995004
human,large,4047,9.0,6.1380952380952385,0.5827406410118933
human,large,4173,5.666666666666667,4.281746031746032,0.6441090979268995
human,large,4797,7.333333333333333,3.8055555555555554,0.5398819634405915
human,large,5047,9.666666666666666,3.9277777777777776,0.430465606983957
human,large,5062,4.0,6.411111111111111,0.9231629343686354
human,large,5201,8.333333333333334,6.244949494949495,0.6432455956028539
human,large,5265,3.6666666666666665,6.666666666666667,0.9431870191383988
human,large,5349,5.333333333333333,6.969444444444445,0.7955780711207648
human,large,5540,6.666666666666667,6.4071428571428575,0.7069143798111809
human,large,5721,8.333333333333334,3.85,0.5152671288693879
human,large,6111,6.666666666666667,4.216666666666667,0.6240699016982687
human,large,6215,5.666666666666667,4.0,0.6228332071839447
human,large,6729,10.0,3.242490842490843,0.31584150539595784
human,large,6847,5.666666666666667,5.675,0.7699521923337537
human,large,6878,4.666666666666667,7.138888888888889,0.8745236766380317
human,large,6921,5.0,4.95,0.7506325203288301
human,large,7065,5.666666666666667,5.741666666666667,0.7581681827724776
human,large,7150,6.666666666666667,4.413095238095238,0.5708506023701704
human,large,7195,6.666666666666667,4.2936507936507935,0.5649728372475494
human,large,7596,5.333333333333333,5.122222222222223,0.7379781442443928
human,large,7702,5.666666666666667,5.174603174603175,0.7211544611139001
human,large,8061,5.0,7.377777777777777,0.8737893995364044
human,large,8085,7.0,4.0436507936507935,0.5225121441467421
human,large,8154,6.333333333333333,3.410714285714286,0.510931120649082
human,large,8551,8.0,4.593253968253968,0.5191232849594513
human,large,9334,6.666666666666667,5.458333333333333,0.6497441472929102
human,large,9418,6.0,5.1499999999999995,0.7037112653974015
human,large,9914,5.666666666666667,4.495238095238095,0.6489044111719074
human,large,10408,6.666666666666667,4.638888888888888,0.5950030102798505
human,large,10486,6.333333333333333,4.375,0.597914064377961
human,large,10499,4.666666666666667,3.9166666666666665,0.688567681960039
human,large,11260,5.333333333333333,6.19047619047619,0.7995749333692
human,large,11340,6.666666666666667,5.211111111111111,0.617739737788901
human,large,11457,8.333333333333334,3.603571428571428,0.4145815191189553
human,large,11541,4.0,4.5777777777777775,0.7545242518656355
human,large,11543,5.333333333333333,3.447619047619048,0.5602854035976305
human,large,11678,5.333333333333333,4.263888888888888,0.668096731156172
human,large,11719,5.0,6.346031746031746,0.8435900485774569
human,large,12358,7.666666666666667,5.5129629629629635,0.6413852057266521
human,large,12423,7.333333333333333,5.795238095238095,0.662748747296209
human,large,13596,5.333333333333333,7.833333333333333,0.8737394179047532
human,large,13683,8.333333333333334,5.9624999999999995,0.6751457740119037
claude45,original,5349,10.0,3.3,0.3182245223383665
claude45,original,6921,9.0,4.777777777777778,0.48559127633000954
claude45,original,7065,7.0,4.714285714285714,0.5866276548898999
claude45,original,1201,3.0,2.6666666666666665,0.7093805217562799
claude45,original,9914,6.0,3.0,0.46146262313113756
claude45,original,11678,5.0,5.2,0.7770670098724379
claude45,original,345,9.0,3.111111111111111,0.33219663679765116
claude45,original,721,8.0,3.5,0.4111162809106542
claude45,original,7195,8.0,4.5,0.5093100732176662
claude45,original,2400,7.0,4.857142857142857,0.599833913905728
claude45,original,3761,9.0,4.222222222222222,0.4370796780610105
claude45,original,5540,12.0,3.25,0.264190328819434
claude45,original,3295,6.0,4.666666666666667,0.6506837713662316
claude45,original,1214,6.0,5.0,0.68151993687585
claude45,original,723,6.0,5.666666666666667,0.7365394569289215
claude45,original,5062,6.0,5.666666666666667,0.7365394569289215
claude45,original,6878,8.0,4.375,0.49766095230365814
claude45,original,6729,10.0,3.5,0.33606541993937755
claude45,original,8061,9.0,5.888888888888889,0.5740849692499455
claude45,original,11719,4.0,9.0,0.9777808911365927
claude45,original,12358,8.0,4.0,0.4616260994840963
claude45,original,12423,8.0,5.5,0.5958202352150785
claude45,original,5047,7.0,3.142857142857143,0.42053279340106575
claude45,original,13683,7.0,4.714285714285714,0.5866276548898999
claude45,original,5201,7.0,4.428571428571429,0.5592564348363973
claude45,original,3891,10.0,3.4,0.3271741264131678
claude45,original,8551,5.0,3.2,0.5640291275177679
claude45,original,2926,7.0,4.714285714285714,0.5866276548898999
claude45,original,3230,7.0,3.5714285714285716,0.46953702445290096
claude45,original,733,7.0,5.428571428571429,0.6494829562125692
claude45,original,4173,7.0,3.857142857142857,0.500695837915262
claude45,original,10408,6.0,5.833333333333333,0.748969830450033
claude45,original,8154,8.0,3.375,0.3980657062931662
claude45,original,5265,6.0,4.333333333333333,0.6175410392444916
claude45,original,11340,5.0,5.0,0.7607546086956449
claude45,original,10486,6.0,5.0,0.68151993687585
claude45,original,11541,7.0,2.5714285714285716,0.3512096210332125
claude45,original,11543,6.0,4.666666666666667,0.6506837713662316
claude45,original,11457,3.0,3.0,0.7601953582523919
claude45,original,2702,4.0,6.0,0.9044700003543296
claude45,original,11260,9.0,4.666666666666667,0.47611087502006844
claude45,original,1467,3.0,6.666666666666667,0.9764441132252886
claude45,original,9334,7.0,5.285714285714286,0.6375439926172
claude45,original,6215,7.0,2.4285714285714284,0.33321800873465235
claude45,original,9418,6.0,5.333333333333333,0.7101120599669639
claude45,original,13596,5.0,7.6,0.9081674793916036
claude45,original,4047,6.0,7.0,0.8225739141602102
claude45,original,6847,4.0,3.25,0.6698515564701782
claude45,original,5721,5.0,3.2,0.5640291275177679
claude45,original,1111,8.0,5.25,0.5753145349040011
claude45,original,7150,7.0,3.5714285714285716,0.46953702445290096
claude45,original,6111,7.0,5.285714285714286,0.6375439926172
claude45,original,515,11.0,4.090909090909091,0.3553581321988043
claude45,original,4797,9.0,3.4444444444444446,0.3646956596528863
claude45,original,8085,11.0,4.181818181818182,0.3625511361463088
claude45,original,7596,3.0,8.333333333333334,0.9921550210997704
claude45,original,948,7.0,4.285714285714286,0.5450918194998919
claude45,original,7702,6.0,8.166666666666666,0.8761252287450294
claude45,original,2722,6.0,3.3333333333333335,0.5039831266785365
claude45,original,10499,8.0,4.5,0.5093100732176662
claude45,large,2926,7.0,4.428571428571429,0.5592564348363973
claude45,large,8551,9.0,4.333333333333333,0.44700178703667787
claude45,large,6847,7.0,4.428571428571429,0.5592564348363973
claude45,large,8061,8.0,6.0,0.6345900192040864
claude45,large,11340,5.0,5.4,0.7923983238844522
claude45,large,3891,7.0,2.857142857142857,0.3864168117756572
claude45,large,7702,6.0,6.166666666666667,0.7723264083680951
claude45,large,10408,7.0,5.714285714285714,0.6724280447565557
claude45,large,7596,6.0,7.333333333333333,0.8397097927455088
claude45,large,11260,6.0,3.6666666666666665,0.5441934667013559
claude45,large,723,9.0,5.777777777777778,0.5657587616675981
claude45,large,6729,11.0,3.272727272727273,0.2887943717865695
claude45,large,9334,7.0,5.714285714285714,0.6724280447565557
claude45,large,11719,7.0,7.142857142857143,0.7694395460499163
claude45,large,6111,5.0,9.0,0.9464326784672275
claude45,large,4173,6.0,3.8333333333333335,0.5634173782332563
claude45,large,2400,8.0,6.0,0.6345900192040864
claude45,large,2722,7.0,4.857142857142857,0.599833913905728
claude45,large,5062,9.0,5.111111111111111,0.5133522206104253
claude45,large,1214,7.0,6.0,0.6941496359503724
claude45,large,9914,13.0,3.3846153846153846,0.25444041987038785
claude45,large,515,9.0,5.333333333333333,0.5312857719178643
claude45,large,1467,6.0,4.833333333333333,0.6663867063780647
claude45,large,13683,5.0,5.8,0.8202838816974648
claude45,large,6921,6.0,6.0,0.7608944773789501
claude45,large,5047,2.0,2.0,0.7594968017461659
claude45,large,11543,6.0,3.3333333333333335,0.5039831266785365
claude45,large,7065,5.0,5.0,0.7607546086956449
claude45,large,1111,5.0,9.6,0.9576003809558136
claude45,large,948,10.0,4.1,0.38812484618825505
claude45,large,9418,9.0,4.666666666666667,0.47611087502006844
claude45,large,3295,9.0,5.0,0.5042127000567824
claude45,large,7150,6.0,2.3333333333333335,0.36984352628266143
claude45,large,345,10.0,2.5,0.24468387910399075
claude45,large,11678,10.0,3.3,0.3182245223383665
claude45,large,721,7.0,5.0,0.6127212478031274
claude45,large,733,6.0,6.666666666666667,0.8038014861305588
claude45,large,7195,8.0,5.25,0.5753145349040011
claude45,large,11457,4.0,3.5,0.70280303366564
claude45,large,12358,7.0,5.285714285714286,0.6375439926172
claude45,large,13596,3.0,10.666666666666666,0.9983304048763797
claude45,large,10499,9.0,5.222222222222222,0.5223767567494481
claude45,large,5721,8.0,3.375,0.3980657062931662
claude45,large,5201,6.0,4.333333333333333,0.6175410392444916
claude45,large,8085,13.0,3.6153846153846154,0.27095364884622025
claude45,large,2702,5.0,6.0,0.8329225598595321
claude45,large,6878,5.0,6.0,0.8329225598595321
claude45,large,1201,4.0,3.25,0.6698515564701782
claude45,large,5265,8.0,6.125,0.643818965886857
claude45,large,5540,7.0,4.0,0.5158096264117492
claude45,large,5349,7.0,5.714285714285714,0.6724280447565557
claude45,large,6215,10.0,3.4,0.3271741264131678
claude45,large,3761,8.0,5.5,0.5958202352150785
claude45,large,8154,10.0,4.0,0.37960699675273973
claude45,large,12423,10.0,4.4,0.4132800250613453
claude45,large,4797,10.0,3.1,0.3001553340369296
claude45,large,4047,6.0,6.666666666666667,0.8038014861305588
claude45,large,11541,11.0,3.5454545454545454,0.31133344920917017
claude45,large,3230,7.0,4.571428571428571,0.5731018606970495
claude45,large,10486,8.0,5.125,0.5647805343680173
gpt4o,original,2400,7.0,3.2857142857142856,0.4371630286577889
gpt4o,original,1201,4.0,3.75,0.7329915688790408
gpt4o,original,6729,8.0,3.125,0.37147861144380634
gpt4o,original,515,8.0,5.125,0.5647805343680173
gpt4o,original,4173,9.0,3.4444444444444446,0.3646956596528863
gpt4o,original,11340,4.0,5.75,0.8924661507026329
gpt4o,original,6215,6.0,4.833333333333333,0.6663867063780647
gpt4o,original,13596,5.0,6.4,0.8558027155778727
gpt4o,original,6847,7.0,3.857142857142857,0.500695837915262
gpt4o,original,3761,4.0,6.25,0.9151939249285582
gpt4o,original,723,6.0,6.0,0.7608944773789501
gpt4o,original,13683,5.0,5.4,0.7923983238844522
gpt4o,original,733,6.0,5.833333333333333,0.748969830450033
gpt4o,original,11260,9.0,2.888888888888889,0.31007772240079795
gpt4o,original,12423,5.0,6.0,0.8329225598595321
gpt4o,original,12358,5.0,3.6,0.616018324954511
gpt4o,original,2926,8.0,4.875,0.5431508858186228
gpt4o,original,2722,5.0,4.4,0.7055382777228413
gpt4o,original,6878,5.0,4.6,0.7250275395140692
gpt4o,original,10499,7.0,3.0,0.403615090127592
gpt4o,original,10408,9.0,3.7777777777777777,0.3963297763809756
gpt4o,original,345,5.0,4.2,0.6849199781029739
gpt4o,original,11678,6.0,4.166666666666667,0.6000907329398486
gpt4o,original,721,7.0,3.2857142857142856,0.4371630286577889
gpt4o,original,8085,9.0,3.0,0.3211809816372804
gpt4o,original,10486,7.0,4.0,0.5158096264117492
gpt4o,original,8061,6.0,4.0,0.5820499548410306
gpt4o,original,1467,5.0,4.2,0.6849199781029739
gpt4o,original,7150,7.0,4.0,0.5158096264117492
gpt4o,original,7065,7.0,4.571428571428571,0.5731018606970495
gpt4o,original,11541,6.0,4.333333333333333,0.6175410392444916
gpt4o,original,3891,5.0,3.2,0.5640291275177679
gpt4o,original,7195,7.0,3.7142857142857144,0.48527048008883217
gpt4o,original,6921,7.0,5.0,0.6127212478031274
gpt4o,original,5540,4.0,5.0,0.8474072141058118
gpt4o,original,8154,9.0,4.111111111111111,0.42705003345834885
gpt4o,original,11457,3.0,4.0,0.8689811246743774
gpt4o,original,6111,5.0,5.6,0.806789922025664
gpt4o,original,9914,5.0,3.8,0.6401825682277622
gpt4o,original,11543,9.0,3.0,0.3211809816372804
gpt4o,original,1214,3.0,7.333333333333333,0.9848100841020997
gpt4o,original,5721,10.0,2.5,0.24468387910399075
gpt4o,original,5047,4.0,2.5,0.5535195826486679
gpt4o,original,948,8.0,4.625,0.5207754938618373
gpt4o,original,5201,9.0,3.5555555555555554,0.3753390402210108
gpt4o,original,3230,5.0,5.2,0.7770670098724379
gpt4o,original,4047,3.0,7.666666666666667,0.9878094888255903
gpt4o,original,4797,8.0,2.75,0.33043887960173574
gpt4o,original,11719,2.0,10.0,0.9999045730276356
gpt4o,original,8551,5.0,3.0,0.5361968300109659
gpt4o,original,9418,5.0,5.8,0.8202838816974648
gpt4o,original,5062,5.0,5.0,0.7607546086956449
gpt4o,original,7596,5.0,5.4,0.7923983238844522
gpt4o,original,7702,5.0,5.4,0.7923983238844522
gpt4o,original,5265,4.0,11.75,0.9943157048337464
gpt4o,original,1111,4.0,6.0,0.9044700003543296
gpt4o,original,9334,3.0,6.0,0.9635551199895266
gpt4o,original,2702,3.0,6.666666666666667,0.9764441132252886
gpt4o,original,5349,7.0,3.0,0.403615090127592
gpt4o,original,3295,4.0,6.25,0.9151939249285582
gpt4o,large,10486,6.0,3.3333333333333335,0.5039831266785365
gpt4o,large,7065,4.0,5.25,0.8640796744146161
gpt4o,large,3230,4.0,4.5,0.808330888044811
gpt4o,large,345,4.0,4.0,0.760544847685396
gpt4o,large,5062,2.0,7.0,0.9981133843224367
gpt4o,large,723,3.0,6.333333333333333,0.9706895565769862
gpt4o,large,12423,5.0,4.2,0.6849199781029739
gpt4o,large,13683,6.0,4.5,0.6344038707697881
gpt4o,large,6215,5.0,3.6,0.616018324954511
gpt4o,large,6878,4.0,4.5,0.808330888044811
gpt4o,large,9418,6.0,5.0,0.68151993687585
gpt4o,large,10499,6.0,2.6666666666666665,0.41671074421007165
gpt4o,large,8154,9.0,4.111111111111111,0.42705003345834885
gpt4o,large,1111,5.0,3.6,0.616018324954511
gpt4o,large,8551,5.0,3.6,0.616018324954511
gpt4o,large,13596,3.0,7.0,0.9810797174732149
gpt4o,large,3295,5.0,4.6,0.7250275395140692
gpt4o,large,6921,7.0,4.0,0.5158096264117492
gpt4o,large,2926,7.0,4.857142857142857,0.599833913905728
gpt4o,large,8085,5.0,4.8,0.743420937403751
gpt4o,large,2400,7.0,3.857142857142857,0.500695837915262
gpt4o,large,11260,9.0,3.4444444444444446,0.3646956596528863
gpt4o,large,1214,3.0,5.0,0.9303691714681529
gpt4o,large,948,7.0,3.857142857142857,0.500695837915262
gpt4o,large,4047,5.0,4.4,0.7055382777228413
gpt4o,large,6111,7.0,3.857142857142857,0.500695837915262
gpt4o,large,2722,7.0,3.2857142857142856,0.4371630286577889
gpt4o,large,5721,8.0,3.75,0.4367153108489706
gpt4o,large,5047,2.0,3.0,0.9037905507796178
gpt4o,large,11678,7.0,3.4285714285714284,0.4534996043235448
gpt4o,large,721,8.0,2.75,0.33043887960173574
gpt4o,large,3761,4.0,4.5,0.808330888044811
gpt4o,large,1201,3.0,4.666666666666667,0.9138494194403485
gpt4o,large,2702,2.0,6.5,0.9968991101462736
gpt4o,large,11457,5.0,2.2,0.4129162032860138
gpt4o,large,12358,4.0,4.75,0.8288773922429453
gpt4o,large,7150,5.0,4.8,0.743420937403751
gpt4o,large,7596,5.0,5.2,0.7770670098724379
gpt4o,large,5265,5.0,7.6,0.9081674793916036
gpt4o,large,3891,6.0,4.0,0.5820499548410306
gpt4o,large,9914,6.0,4.5,0.6344038707697881
gpt4o,large,11340,3.0,5.333333333333333,0.9438141852691169
gpt4o,large,6847,6.0,4.333333333333333,0.6175410392444916
gpt4o,large,7702,6.0,4.333333333333333,0.6175410392444916
gpt4o,large,11541,3.0,3.3333333333333335,0.8031484075308158
gpt4o,large,4173,10.0,3.5,0.33606541993937755
gpt4o,large,10408,5.0,4.0,0.6631431205938949
gpt4o,large,5540,7.0,4.0,0.5158096264117492
gpt4o,large,9334,6.0,4.5,0.6344038707697881
gpt4o,large,8061,5.0,5.8,0.8202838816974648
gpt4o,large,5349,6.0,2.8333333333333335,0.43935924485967975
gpt4o,large,4797,10.0,3.0,0.29103832169071686
gpt4o,large,5201,5.0,4.6,0.7250275395140692
gpt4o,large,515,7.0,4.0,0.5158096264117492
gpt4o,large,11719,4.0,5.5,0.8790497469034001
gpt4o,large,1467,4.0,4.5,0.808330888044811
gpt4o,large,733,6.0,4.833333333333333,0.6663867063780647
gpt4o,large,11543,3.0,6.0,0.9635551199895266
gpt4o,large,6729,7.0,2.7142857142857144,0.36894555529406187
gpt4o,large,7195,7.0,3.0,0.403615090127592
internvl3,original,1111,8.0,6.375,0.6617272415453722
